School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Ventura County Office of Education,2017,http://www.vcoe.org/,"5189 Verdugo Way Camarillo, CA 93012",5189 Verdugo Way,,Camarillo,CA,93012,34.21465,-118.99951,CA,1,,E - N/A,691047,,G - N/A,,,,E - N/A,D - West,Special LEA
Ventura Unified School District,"2017, 2020",http://www.venturausd.org/,"255 West Stanley Avenue Ventura, CA 93001",255 West Stanley Avenue,,Ventura,CA,93001,34.30236,-119.29804,CA,2,City - Midsize (12),A - City,640980,"17,125","D - 10,000 - 24,999",27,"1,513.72",10.19%,B - 10 to 19.99 percent,D - West,Regular LEA
Vernon Public Schools,2020,https://www.vernonpublicschools.org/,"30 Park Street Vernon, CT 06066",30 Park Street,,Vernon,CT,6066,41.8682944,-72.4478756,CT,1,Suburb - Large (21),B - Suburban,904680,"3,086","C - 2,500 - 9,999",7,,12.13%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Victor Central School District,2019,https://www.victorschools.org/,"953 High Street Victor, NY 14564",953 High Street,,Victor,NY,14564,42.99172,-77.41854,NY,1,Suburb - Large (21),B - Suburban,3629640,"4,427","C - 2,500 - 9,999",5,672.55,5.82%,A - Less than 10 percent,A - Northeast,Regular LEA
Victoria Independent School District,"2017, 2018",https://www.visd.net/,"102 Profit Dr Victoria, TX 77901",102 Profit Dr,,Victoria,TX,77901,28.80609,-96.97975,TX,2,City - Small (13),A - City,4844150,"14,502","D - 10,000 - 24,999",28,"2,145.41",19.71%,C - 20 to 29.99 percent,D - West,Regular LEA
Virginia Beach City Public Schools,2020,https://www.vbschools.com/,"2512 George Mason Drive Virginia Beach, VA 23456",2512 George Mason Drive,,Virginia Beach,VA,23456,36.75134,-76.06117,VA,1,City - Large (11),A - City,5103840,"68,624","E - 25,000 - 99,999",87,"9,387.03",9.07%,A - Less than 10 percent,B - Southeast,Regular LEA
Volusia County Schools,2019,https://www.vcsedu.org/,"200 N Clara Ave Deland, FL 32721",200 N Clara Ave,,Deland,FL,32721,29.0307,-81.309,FL,1,City - Small (13),A - City,1201920,"63,028","E - 25,000 - 99,999",92,"7,552.51",22.20%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Wahpeton School District #37,2019,https://www.wahpetonschools.org/,"1021 11th St N Wahpeton, ND 58074",1021 11th St N,,Wahpeton,ND,58074,46.27427,-96.61614,ND,1,Town - Distant (32),C - Town,3819020,"1,224","B - 1,000 - 2,499",4,165.26,9.51%,A - Less than 10 percent,C - Central,Regular LEA
Wake County Public School System,"2016, 2019, 2020",https://www.wcpss.net/,"5625 Dillard Drive Cary, NC 27518",5625 Dillard Drive,,Cary,NC,27518,35.75418,-78.73664,NC,3,Suburb - Large (21),B - Suburban,3704720,"157,839","F - 100,000 or more",183,"17,765.50",10.21%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Wakulla County School District,2019,http://wakulla.schooldesk.net/,"69 Arran Rd Crawfordville, FL 32327",69 Arran Rd,,Crawfordville,FL,32327,30.17628,-84.37921,FL,1,Rural - Distant (42),D - Rural,1201950,"5,178","C - 2,500 - 9,999",14,698,16.81%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Walled Lake Consolidated Schools,2020,https://wlcsd.org/,"850 Ladd Road Walled Lake, MI 48390",850 Ladd Road,,Walled Lake,MI,48390,42.53504,-83.49157,MI,1,Suburb - Large (21),B - Suburban,2635160,"13,615","D - 10,000 - 24,999",20,"1,536.13",7.34%,A - Less than 10 percent,C - Central,Regular LEA
Wallenpaupack Area School District,"2019, 2020",http://www.wallenpaupack.org/?AspxAutoDetectCookieSupport=1,"2552 Route 6 Hawley, PA 18428",2552 Route 6,,Hawley,PA,18428,41.45482,-75.18103,PA,3,Rural - Distant (42),D - Rural,4224750,"2,966","C - 2,500 - 9,999",5,510.5,14.91%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Wallingford Public Schools,"2018, 2019",https://www.wallingford.k12.ct.us/,"100 South Turnpike Road Wallingford, CT 06492",100 South Turnpike Road,,Wallingford,CT,6492,41.44685,-72.84413,CT,2,Suburb - Large (21),B - Suburban,904740,"5,988","C - 2,500 - 9,999",12,"1,191.21",5.84%,A - Less than 10 percent,A - Northeast,Regular LEA
Walton County School District,2017,http://www.walton.k12.fl.us/,"145 Park Street DeFuniak Springs, FL 32435",145 Park Street,,DeFuniak Springs,FL,32435,30.72077,-86.09858,FL,1,Rural - Distant (42),D - Rural,1201980,"8,854","C - 2,500 - 9,999",20,"1,172.00",20.92%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Warrensburg R-VI School District,2018,http://www.warrensburgr6.org/,"201 South Holden Street Warrensburg, MO 64093",201 South Holden Street,,Warrensburg,MO,64093,38.76152,-93.7402,MO,1,Town - Distant (32),C - Town,2931020,"3,328","C - 2,500 - 9,999",8,484.7,15.21%,B - 10 to 19.99 percent,C - Central,Regular LEA
Washington Elementary School District,2016,https://www.wesdschools.org/,"4650 West Sweetwater Avenue Glendale, AZ 85304",4650 West Sweetwater Avenue,,Glendale,AZ,85304,33.6036599,-112.1587871,AZ,1,City - Large (11),A - City,409060,"23,529","D - 10,000 - 24,999",32,"2,915.08",30.92%,D - 30 percent or more,D - West,Regular LEA
Washoe County School District,2019,https://www.washoeschools.net/,"425 East Ninth Street Reno, NV 89512",425 East Ninth Street,,Reno,NV,89512,39.53767,-119.80994,NV,2,City - Midsize (12),A - City,3200480,"66,671","E - 25,000 - 99,999",108,"4,026.85",11.96%,B - 10 to 19.99 percent,D - West,Regular LEA
Watertown City School District,2019,https://www.watertowncsd.org/,"1351 Washington Street Watertown, NY 13601",1351 Washington Street,,Watertown,NY,13601,43.95596,-75.91009,NY,1,City - Small (13),A - City,3630120,"4,085","C - 2,500 - 9,999",8,569.14,30.66%,D - 30 percent or more,A - Northeast,Regular LEA
Watertown Public Schools,2019,https://www.watertownps.org/,"10 DeForest Street  Watertown, CT 06795 ",10 DeForest Street ,,Watertown,CT,6795,41.60638,-73.11924,CT,1,Suburb - Midsize (22),B - Suburban,904890,"2,772","C - 2,500 - 9,999",5,476.7,5.19%,A - Less than 10 percent,A - Northeast,Regular LEA
Waukegan Community Unit School District #60,2019,https://wps60.org/,"1201 North Sheridan Road Waukegan, IL 60085",1201 North Sheridan Road,,Waukegan,IL,60085,42.37672,-87.82856,IL,1,Suburb - Large (21),B - Suburban,1741250,"16,591","D - 10,000 - 24,999",22,"1,913.99",20.29%,C - 20 to 29.99 percent,C - Central,Regular LEA
Wausau School District,"2019, 2020",wausauschools.org,"415 Seymour St Wausau, WI 54403",415 Seymour St,,Wausau,WI,54403,44.95356,-89.62168,WI,2,City - Small (13),A - City,5515900,"8,405","C - 2,500 - 9,999",21,"1,207.41",13.33%,B - 10 to 19.99 percent,C - Central,Regular LEA
Wayne County School District,2020,https://www.wayne.k12.ms.us/,"810 Chickasawhay St Waynesboro, MS 39367",810 Chickasawhay St,,Waynesboro,MS,39367,31.6747,-88.64699,MS,1,Town - Remote (33),C - Town,2804530,"3,326","C - 2,500 - 9,999",8,,31.34%,D - 30 percent or more,B - Southeast,Regular LEA
Wayne Township Public Schools,2017,https://www.wayneschools.com/,"50 Nellis Drive Wayne, NJ 07470",50 Nellis Drive,,Wayne,NJ,7470,40.92676,-74.24398,NJ,1,Suburb - Large (21),B - Suburban,3417280,"8,107","C - 2,500 - 9,999",14,"1,405.72",6.02%,A - Less than 10 percent,A - Northeast,Regular LEA
Webster Central School District,2019,http://www.websterschools.org/,"119 South Avenue Webster, NY 14580",119 South Avenue,,Webster,NY,14580,43.2075,-77.4331,NY,1,Suburb - Large (21),B - Suburban,3630360,"8,494","C - 2,500 - 9,999",11,"1,471.75",6.79%,A - Less than 10 percent,A - Northeast,Regular LEA
Weedsport Central School District,2019,https://www.weedsport.org/,"2821 East Brutus St. Weedsport, NY 13166",2821 East Brutus St.,,Weedsport,NY,13166,43.047477,-76.5543253,NY,1,Town - Distant (32),C - Town,3630420,820,"A - Less than 1,000",2,149.2,10.26%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Weslaco Independent School District,2017,https://www.wisd.us/,"319 West Fourth Street Weslaco, TX 78596",319 West Fourth Street,,Weslaco,TX,78596,26.1578731,-97.9929621,TX,1,Suburb - Large (21),B - Suburban,4844960,"17,806","D - 10,000 - 24,999",23,"2,278.85",39.85%,D - 30 percent or more,D - West,Regular LEA
West Allis-West Milwaukee  School District,2020,https://www.wawm.k12.wi.us/,"1205 South 70th Street West Allis, WI  53214",1205 South 70th Street,,West Allis,WI,53214,43.01902,-88.00044,WI,1,City - Small (13),A - City,5516260,"8,714","C - 2,500 - 9,999",18,"1,018.07",14.80%,B - 10 to 19.99 percent,C - Central,Regular LEA
West Bloomfield School District,2016,https://www.wbsd.org/,"5810 Commerce Road West Bloomfield, MI 48324",5810 Commerce Road,,West Bloomfield,MI,48324,42.59058,-83.3983,MI,1,Suburb - Large (21),B - Suburban,2635820,"5,498","C - 2,500 - 9,999",13,655.19,7.94%,A - Less than 10 percent,C - Central,Regular LEA
West Carrollton City Schools,2020,https://www.westcarrolltonschools.com/Default.aspx,"430 E. Pease Avenue West Carrollton, OH 45449",430 E. Pease Avenue,,West Carrollton,OH,45449,39.67584,-84.24691,OH,1,Suburb - Large (21),B - Suburban,3904505,"3,528","C - 2,500 - 9,999",6,,21.00%,C - 20 to 29.99 percent,C - Central,Regular LEA
West Chicago School District 33,2019,http://www.wego33.org/,"312 East Forest Avenue West Chicago, IL  60185",312 East Forest Avenue,,West Chicago,IL,60185,41.8704,-88.20222,IL,1,Suburb - Large (21),B - Suburban,1741550,"4,547","C - 2,500 - 9,999",11,,15.65%,B - 10 to 19.99 percent,C - Central,Regular LEA
West Contra Costa Unified School District,2020,https://www.wccusd.net/,"1108 Bissell Ave Richmond, CA 94801",1108 Bissell Ave,,Richmond,CA,94801,37.93372,-122.35849,CA,1,Suburb - Large (21),B - Suburban,632550,"28,121","E - 25,000 - 99,999",54,"2,799.90",11.12%,B - 10 to 19.99 percent,D - West,Regular LEA
West County R-IV School District,2020,http://westco.k12.mo.us/,"1124 Main Street Leadwood, MO 63653",1124 Main Street,,Leadwood,MO,63653,37.86095,-90.59154,MO,1,Rural - Fringe (41),D - Rural,2918240,"1,015","B - 1,000 - 2,499",3,125.57,22.90%,C - 20 to 29.99 percent,C - Central,Regular LEA
West Fargo Public Schools,2019,https://www.west-fargo.k12.nd.us/,"207 Main Avenue West West Fargo, ND 58078",207 Main Avenue West,,West Fargo,ND,58078,46.87603,-96.9022,ND,1,Suburb - Midsize (22),B - Suburban,3819410,"9,968","C - 2,500 - 9,999",19,"1,503.79",7.38%,A - Less than 10 percent,C - Central,Regular LEA
West Genesee Central School District,2019,https://www.westgenesee.org/,"300 Sanderson Drive Camillus, NY 13031",300 Sanderson Drive,,Camillus,NY,13031,43.04694,-76.27225,NY,1,Suburb - Large (21),B - Suburban,3630630,"4,628","C - 2,500 - 9,999",7,759.77,6.67%,A - Less than 10 percent,A - Northeast,Regular LEA
West Hartford Public Schools,"2019, 2020",https://www.whps.org/,"50 South Main St West Hartford, CT 06107",50 South Main St,,West Hartford,CT,6107,41.75859,-72.7413,CT,2,City - Small (13),A - City,904920,"9,709","C - 2,500 - 9,999",16,"1,680.70",7.56%,A - Less than 10 percent,A - Northeast,Regular LEA
West Hawaii Explorations Academy,2019,https://www.whea.net/,"73-4500 Kahilihili St Kailua-Kona, HI 96740",73-4500 Kahilihili St,,Kailua-Kona,HI,96740,19.7148833,-156.0356928,HI,1,Rural - Fringe (41),D - Rural,1.50003E+11,266,"A - Less than 1,000",1,19,,E - N/A,D - West,Charter
West Irondequoit Central School District,2019,https://www.westirondequoit.org/,"321 List Ave Rochester, NY  14617",321 List Ave,,Rochester,NY,14617,43.21714,-77.59265,NY,1,Suburb - Large (21),B - Suburban,3615390,"3,597","C - 2,500 - 9,999",10,634.1,9.63%,A - Less than 10 percent,A - Northeast,Regular LEA
West Milford Township School District,2017,https://www.wmtps.org/,"46 Highlander Drive West Milford, NJ 07480",46 Highlander Drive,,West Milford,NJ,7480,41.07953,-74.38477,NJ,1,Rural - Fringe (41),D - Rural,3417520,"3,558","C - 2,500 - 9,999",8,683.4,6.07%,A - Less than 10 percent,A - Northeast,Regular LEA
West Shore School District,2019,https://www.wssd.k12.pa.us/,"507 Fishing Creek Road New Cumberland, PA 17070",507 Fishing Creek Road,,New Cumberland,PA,17070,40.1792158,-76.839584,PA,1,Suburb - Large (21),B - Suburban,4225830,"7,705","C - 2,500 - 9,999",14,,9.58%,A - Less than 10 percent,A - Northeast,Regular LEA
West-Orange Cove Consolidated Independent School District,2017,https://www.woccisd.net/,"902 West Park Avenue Orange, TX 77630",902 West Park Avenue,,Orange,TX,77630,30.0994836,-93.7380491,TX,1,Suburb - Midsize (22),B - Suburban,4845090,"2,431","B - 1,000 - 2,499",4,390.96,34.02%,D - 30 percent or more,D - West,Regular LEA
Westhampton Public Schools,2020,https://www.hr-k12.org/#,"37 Kings Highway Westhampton, MA 01027",37 Kings Highway,,Westhampton,MA,1027,42.31738,-72.76563,MA,1,Rural - Fringe (41),D - Rural,2512690,121,"A - Less than 1,000",1,28.53,4.31%,A - Less than 10 percent,A - Northeast,Regular LEA
Westhill Central School District,2019,http://www.westhillschools.org/,"400 Walberta Road Syracuse, NY 13219",400 Walberta Road,,Syracuse,NY,13219,43.04111,-76.22387,NY,1,Suburb - Large (21),B - Suburban,3607320,"1,781","B - 1,000 - 2,499",4,314.5,6.09%,A - Less than 10 percent,A - Northeast,Regular LEA
Westmoreland Central School District,2019,https://www.westmorelandschool.org/domain/207,"5176 State Route 233 Westmoreland, NY 13490",5176 State Route 233,,Westmoreland,NY,13490,43.11264,-75.40306,NY,1,Rural - Fringe (41),D - Rural,3631050,934,"A - Less than 1,000",3,,10.43%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Weston Public Schools,2019,http://www.westonps.org/,"24 School Road    Weston, CT 06883",24 School Road   ,,Weston,CT,6883,41.20572,-73.37894,CT,1,Suburb - Large (21),B - Suburban,905010,"2,362","B - 1,000 - 2,499",4,371.2,3.10%,A - Less than 10 percent,A - Northeast,Regular LEA
Westport Public Schools,2019,https://www.westportps.org/,"110 Myrtle Avenue Westport, CT 06880",110 Myrtle Avenue,,Westport,CT,6880,41.14512,-73.35918,CT,1,Suburb - Large (21),B - Suburban,905040,"5,600","C - 2,500 - 9,999",8,996.27,3.74%,A - Less than 10 percent,A - Northeast,Regular LEA
Wetzel County Schools,2019,https://www.wetzelcountyschools.com/," 333 Foundry Street New Martinsville, WV 26155", 333 Foundry Street,,New Martinsville,WV,26155,39.6353806,-80.8597936,WV,1,Town - Distant (32),C - Town,5401560,"2,554","C - 2,500 - 9,999",9,424.82,25.37%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Wheeling Community Consolidated District 21,2019,https://ccsd21.org/,"999 West Dundee Road Wheeling, IL 60090",999 West Dundee Road,,Wheeling,IL,60090,42.13896,-87.9415,IL,1,Suburb - Large (21),B - Suburban,1742210,"6,698","C - 2,500 - 9,999",13,746.97,12.69%,B - 10 to 19.99 percent,C - Central,Regular LEA
White County Schools,2018,https://www.white.k12.ga.us/,"136 Warriors Path Cleveland, GA 30528",136 Warriors Path,,Cleveland,GA,30528,34.6012496,-83.770216,GA,1,Rural - Fringe (41),D - Rural,1305670,"3,844","C - 2,500 - 9,999",7,508.7,19.61%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
White Hall School District,2020,https://www.whitehallsd.org/,"1020 W Holland Ave  White Hall, AR 71602 ",1020 W Holland Ave ,,White Hall,AR,71602,34.28596,-92.10677,AR,1,Rural - Fringe (41),D - Rural,514140,"2,971","C - 2,500 - 9,999",6,345.5,21.37%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Whitewater Unified School District,2020,https://www.wwusd.org/,"419 South Elizabeth St. Whitewater, WI 53190",419 South Elizabeth St.,,Whitewater,WI,53190,42.82969,-88.75193,WI,1,Town - Distant (32),C - Town,5516680,"1,940","B - 1,000 - 2,499",6,255.7,10.16%,B - 10 to 19.99 percent,C - Central,Regular LEA
Whittier Union High School District,2018,https://www.wuhsd.org/,"9401 S. Painter Ave Whittier, CA 90605",9401 S. Painter Ave,,Whittier,CA,90605,33.9523991,-118.0440386,CA,1,Suburb - Large (21),B - Suburban,642480,"12,510","D - 10,000 - 24,999",7,963.67,13.68%,B - 10 to 19.99 percent,D - West,Regular LEA
Wicomico County Public Schools ,2020,https://www.wcboe.org/,"2424 Northgate Drive Salisbury, MD 21801",2424 Northgate Drive,,Salisbury,MD,21801,38.41215,-75.572,MD,1,City - Small (13),A - City,2400690,"14,949","D - 10,000 - 24,999",25,"2,294.28",20.39%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Williamsburg Public Schools,2020,https://www.hr-k12.org/#,"1 Petticoat Hill Road Williamsburg, MA 01096",1 Petticoat Hill Road,,Williamsburg,MA,1096,42.39134,-72.73096,MA,1,Rural - Fringe (41),D - Rural,2512990,147,"A - Less than 1,000",1,28.94,11.54%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Williamsburg-James City County Public Schools,2020,https://wjccschools.org/,"117 Ironbound Road Williamsburg, VA 23185",117 Ironbound Road,,Williamsburg,VA,23185,37.29129,-76.72728,VA,2,Suburb - Small (23),B - Suburban,5104020,"11,666","D - 10,000 - 24,999",16,"1,807.07",8.22%,A - Less than 10 percent,B - Southeast,Regular LEA
Williamson County Schools,2017,https://www.wcs.edu/,"1320 West Main Street Franklin, TN 37064",1320 West Main Street,,Franklin,TN,37064,35.91576,-86.88418,TN,1,Rural - Fringe (41),D - Rural,4704530,"36,874","E - 25,000 - 99,999",44,"4,414.90",3.70%,A - Less than 10 percent,B - Southeast,Regular LEA
Wilmette Public Schools,2019,http://www.wilmette39.org/,"615 Locust Wilmette, IL  60091",615 Locust,,Wilmette,IL,60091,42.07436,-87.74229,IL,1,Suburb - Large (21),B - Suburban,1742600,"3,695","C - 2,500 - 9,999",6,536.56,3.02%,A - Less than 10 percent,C - Central,Regular LEA
Wilmington Public Schools,2019,https://www.wpsk12.com/,"161 Church Street Wilmington, MA 01887",161 Church Street,,Wilmington,MA,1887,42.55575,-71.16597,MA,1,Suburb - Large (21),B - Suburban,2513050,"3,461","C - 2,500 - 9,999",8,457.75,3.79%,A - Less than 10 percent,A - Northeast,Regular LEA
Wilson County Schools,2020,https://www.wilsonschoolsnc.net/,"117 NE Tarboro St. Wilson, NC 27894",117 NE Tarboro St.,,Wilson,NC,27894,35.73053,-77.90405,NC,1,Rural - Distant (42),D - Rural,3705020,"11,146","D - 10,000 - 24,999",26,"1,356.37",28.85%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Wilton Public Schools,2019,https://www.wiltonps.org/,"395 Danbury Road Wilton, CT 06897",395 Danbury Road,,Wilton,CT,6897,41.21071,-73.43201,CT,1,Rural - Fringe (41),D - Rural,905130,"4,048","C - 2,500 - 9,999",4,670.8,2.85%,A - Less than 10 percent,A - Northeast,Regular LEA
Winlock School District ,2020,https://www.winlockschools.org/,"401 NE 1st Street  Winlock, WA 98596",401 NE 1st Street ,,Winlock,WA,98596,46.49261,-122.9369,WA,1,Rural - Distant (42),D - Rural,5309930,763,"A - Less than 1,000",4,76.82,19.28%,B - 10 to 19.99 percent,D - West,Regular LEA
Winneconne Community School District,2018,http://www.winneconne.k12.wi.us/,"233 S. 3rd Ave Winneconne, WI 54986",233 S. 3rd Ave,,Winneconne,WI,54986,44.1079,-88.70554,WI,1,Town - Fringe (31),C - Town,5516830,"1,574","B - 1,000 - 2,499",3,175.98,4.47%,A - Less than 10 percent,C - Central,Regular LEA
Winnetka Public Schools District 36,2020,https://www.winnetka36.org/Domain/4,"1235 Oak Street Winnetka, IL 60093",1235 Oak Street,,Winnetka,IL,60093,42.10539,-87.74871,IL,1,Suburb - Large (21),B - Suburban,1742840,"1,633","B - 1,000 - 2,499",5,326.46,4.75%,A - Less than 10 percent,C - Central,Regular LEA
Winston Dillard School District No. 116,2016,http://www.wdsd.org/,"620 NW Elwood St. Winston, OR 97496",620 NW Elwood St.,,Winston,OR,97496,43.12174,-123.42315,OR,1,Rural - Fringe (41),D - Rural,4113490,"1,444","B - 1,000 - 2,499",6,140.54,24.56%,C - 20 to 29.99 percent,D - West,Regular LEA
Winston-Salem/Forsyth County Schools,2020,https://www.wsfcs.k12.nc.us/,"475 Corporate Square Drive Winston Salem, NC 27102",475 Corporate Square Drive,,Winston Salem,NC,27102,36.17996,-80.28121,NC,1,City - Midsize (12),A - City,3701500,"54,707","E - 25,000 - 99,999",79,"7,097.54",22.53%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
